,cor_name,Quater_per,Unnamed: 0,cor_rate,obligation,market_type,listed_date,offer_price,sicho_p,profit_percent,first_p,sales,profit,shares_to_pub,sub_rate,pre_demand_day,subs_day,l_exp_offer_price,h_exp_offer_price,score
0,대성하이텍,0.6,0,1934.89,4.57,0,20220822,9000,13000,44.44,14600,112579,7412,0.78,1136.4,2022-08-04,2022-08-10,7400,9000,0.57
1,쏘카,0.6,1,56.07,0.17,1,20220822,28000,28000,0.0,26300,261824,-67745,1.0,14.4,2022-08-04,2022-08-11,34000,45000,0.83
2,에이치와이티씨,0.6,2,1480.78,6.08,0,20220809,15000,14700,-2.0,15850,35745,7479,1.0,432.58,2022-07-21,2022-07-29,13000,15000,0.43
3,새빗켐,0.6,3,1670.9,37.7,0,20220804,35000,70000,100.0,72500,33389,4423,0.84,1724.96,2022-07-20,2022-07-27,25000,30000,0.47
4,수산인더스트리,0.6,4,130.37,18.94,1,20220801,35000,33000,-5.71,32500,294111,53318,0.75,3.4,2022-07-14,2022-07-21,35000,43100,0.45
5,아이씨에이치,0.6,5,57.28,12.47,0,20220729,34000,30600,-10.0,27000,24167,2428,0.88,2.51,2022-07-13,2022-07-20,34000,44000,0.46
6,성일하이텍,0.6,6,2269.68,38.66,0,20220728,50000,99900,99.8,88200,65939,-2998,1.0,1207.1,2022-07-11,2022-07-19,40700,47500,0.48
7,루닛,0.6,7,7.1,1.65,0,20220721,30000,30800,2.67,40000,1430,-83739,1.0,8.99,2022-07-07,2022-07-13,44000,49000,0.3
8,에이치피에스피,0.6,8,1511.36,42.54,0,20220715,25000,50000,100.0,43250,61174,17658,1.0,1159.05,2022-06-29,2022-07-07,23000,25000,0.31
9,영창케미칼,0.6,9,1616.27,5.92,0,20220714,18600,18400,-1.08,16450,60760,2506,0.83,682.13,2022-06-27,2022-07-05,15000,18600,0.53
10,넥스트칩,0.6,10,1623.41,11.58,0,20220701,13000,17150,31.92,14300,10383,-13496,1.0,1727.38,2022-06-16,2022-06-22,9900,11600,0.49
