,기업명,매출액(백만원),순이익(백만원),구주매출,청약경쟁률(:1),확정공모가(원),경쟁률(:1),의무보유확약(:1),시초/공모%(수익률),시장 종류,상장일,현재가,공모가(원),시초가(원),종가,희망공모가(최저),희망공모가(최고)
0,새빗켐,33389.0,4423.0,0.84,1724.96,35000,1670.9,37.7,200.0,kosdaq,20220804,-,35000,-,예정,25000.0,30000.0
1,아이씨에이치,24167.0,2428.0,0.87,2.51,34000,57.28,12.47,-10.0,kosdaq,20220729,27250,34000,30600,27000,34000.0,44000.0
2,성일하이텍,65939.0,-2998.0,1.0,1207.1,50000,2269.68,38.66,99.8,kosdaq,20220728,94200,50000,99900,88200,40700.0,47500.0
3,루닛,1430.0,-83739.0,1.0,8.99,30000,7.1,1.65,2.67,kosdaq,20220721,38950,30000,30800,40000,44000.0,49000.0
4,에이치피에스피,61174.0,17658.0,1.0,1159.05,25000,1511.36,42.54,100.0,kosdaq,20220715,54900,25000,50000,43250,23000.0,25000.0
5,영창케미칼,60760.0,2506.0,0.8300000000000001,682.13,18600,1616.27,5.92,-1.08,kosdaq,20220714,15550,18600,18400,16450,15000.0,18600.0
6,코난테크놀로지,14001.0,1488.0,1.0,1386.86,25000,1482.6,7.07,41.2,kosdaq,20220707,26000,25000,35300,30600,21000.0,25000.0
7,넥스트칩,10383.0,-13496.0,1.0,1727.38,13000,1623.41,11.58,31.92,kosdaq,20220701,12350,13000,17150,14300,9900.0,11600.0
8,위니아에이드,418527.0,24895.0,1.0,111.26,16200,955.0,1.39,-9.88,kosdaq,20220623,9570,16200,14600,11000,14200.0,16200.0
9,레이저쎌,3879.0,-7665.0,1.0,1845.11,16000,1442.95,12.43,28.75,kosdaq,20220624,12400,16000,20600,17350,12000.0,14000.0
10,범한퓨얼셀,31900.0,3457.0,1.0,710.37,40000,751.39,10.75,2.5,kosdaq,20220617,29850,40000,41000,47950,32200.0,40000.0
11,비플라이소프트,24386.0,-3424.0,0.9,26.86,10000,111.05,0.76,5.0,kosdaq,20220620,2315,10000,10500,9050,16500.0,19000.0
12,청담글로벌,70387.0,849.0,0.91,42.1,6000,24.79,16.47,8.33,kosdaq,20220603,11650,6000,6500,7640,8400.0,9600.0
13,가온칩스,17098.0,1852.0,1.0,2183.29,14000,1847.12,14.7,72.5,kosdaq,20220520,26400,14000,24150,27100,11000.0,13000.0
14,대명에너지,159386.0,8132.0,0.8,151.58,15000,254.74,1.18,3.0,kosdaq,20220516,19700,15000,15450,13950,15000.0,18000.0
15,포바이포,13993.0,1354.0,0.89,3763.37,17000,1846.32,55.52,100.0,kosdaq,20220428,21100,17000,34000,44200,11000.0,14000.0
16,지투파워,29135.0,2162.0,0.8300000000000001,2029.37,16400,1729.63,11.16,100.0,kosdaq,20220401,52300,16400,32800,35250,13500.0,16400.0
17,세아메카닉스,82695.0,4254.0,0.66,2475.87,4400,1812.83,6.73,100.0,kosdaq,20220324,7280,4400,8800,7600,3500.0,4000.0
